metodo,orden,problema,hebras,tamvector,neqn,salto,tiempo
1,4,1,256,500,500,5,1.75387
1,4,2,256,500,500,5,1.56855
1,4,3,256,500,500,5,3.02246
1,4,4,256,500,500,5,3.15262
1,4,5,256,500,1000,5,1.65859
1,4,6,256,500,1000,5,1.66934
1,4,7,256,500,1000,5,1.69108
2,4,1,256,500,500,5,1.24938
2,4,2,256,500,500,5,1.25827
2,4,3,256,500,500,5,2.77291
2,4,4,256,500,500,5,2.86113
2,4,5,256,500,1000,5,1.35964
2,4,6,256,500,1000,5,1.37051
2,4,7,256,500,1000,5,1.36702
3,4,1,256,500,500,5,0.419736
3,4,2,256,500,500,5,0.416541
3,4,3,256,500,500,5,0.785062
3,4,4,256,500,500,5,0.809937
3,4,5,256,500,1000,5,0.43875
3,4,6,256,500,1000,5,0.441638
3,4,7,256,500,1000,5,0.444155
4,4,1,256,500,500,5,0.570268
4,4,2,256,500,500,5,0.574002
4,4,3,256,500,500,5,0.950943
4,4,4,256,500,500,5,0.977485
4,4,5,256,500,1000,5,0.597111
4,4,6,256,500,1000,5,0.600275
4,4,7,256,500,1000,5,0.598004
5,5,1,256,500,500,5,1.27155
5,5,2,256,500,500,5,1.26755
5,5,3,256,500,500,5,2.36867
5,5,4,256,500,500,5,2.42259
5,5,5,256,500,1000,5,1.32711
5,5,6,256,500,1000,5,1.34204
5,5,7,256,500,1000,5,1.33936
6,5,1,256,500,500,5,1.19995
6,5,2,256,500,500,5,1.20325
6,5,3,256,500,500,5,2.34914
6,5,4,256,500,500,5,2.42108
6,5,5,256,500,1000,5,1.28359
6,5,6,256,500,1000,5,1.29726
6,5,7,256,500,1000,5,1.28995
1,4,1,256,1000,1000,5,1.56614
1,4,2,256,1000,1000,5,1.61216
1,4,3,256,1000,1000,5,3.09491
1,4,4,256,1000,1000,5,3.19223
1,4,5,256,1000,2000,5,1.66905
1,4,6,256,1000,2000,5,1.681
1,4,7,256,1000,2000,5,1.69881
2,4,1,256,1000,1000,5,1.26587
2,4,2,256,1000,1000,5,1.27523
2,4,3,256,1000,1000,5,2.79582
2,4,4,256,1000,1000,5,2.89351
2,4,5,256,1000,2000,5,1.36855
2,4,6,256,1000,2000,5,1.38698
2,4,7,256,1000,2000,5,1.38198
3,4,1,256,1000,1000,5,0.417485
3,4,2,256,1000,1000,5,0.41741
3,4,3,256,1000,1000,5,0.787646
3,4,4,256,1000,1000,5,0.813271
3,4,5,256,1000,2000,5,0.44415
3,4,6,256,1000,2000,5,0.449229
3,4,7,256,1000,2000,5,0.453978
