metodo,orden,problema,hebras,tamvector,neqn,salto,tiempo
1,4,1,256,100,100,7,221.582
1,4,3,256,100,100,7,219.162
1,4,5,256,100,200,7,162.222
3,4,1,256,100,100,7,36.5872
3,4,3,256,100,100,7,56.2764
3,4,5,256,100,200,7,42.963
5,5,1,256,100,100,7,119.908
5,5,3,256,100,100,7,168.387
5,5,5,256,100,200,7,128.657
1,4,1,256,200,200,7,152.787
1,4,3,256,200,200,7,287.932
1,4,5,256,200,400,7,167.589
3,4,1,256,200,200,7,40.571
3,4,3,256,200,200,7,74.1352
3,4,5,256,200,400,7,44.5198
5,5,1,256,200,200,7,122.958
5,5,3,256,200,200,7,223.28
5,5,5,256,200,400,7,135.411
1,4,1,256,500,500,7,160.886
1,4,3,256,500,500,7,310.732
1,4,5,256,500,1000,7,168.056
3,4,1,256,500,500,7,42.0099
3,4,3,256,500,500,7,79.237
3,4,5,256,500,1000,7,44.3935
5,5,1,256,500,500,7,126.87
5,5,3,256,500,500,7,238.604
5,5,5,256,500,1000,7,135.913
1,4,1,256,1000,1000,7,161.448
1,4,3,256,1000,1000,7,308.356
1,4,5,256,1000,2000,7,170.001
3,4,1,256,1000,1000,7,42.3536
3,4,3,256,1000,1000,7,79.9161
3,4,5,256,1000,2000,7,44.968
5,5,1,256,1000,1000,7,127.454
5,5,3,256,1000,1000,7,240.543
5,5,5,256,1000,2000,7,137.048
1,4,1,256,2000,2000,7,158.814
1,4,3,256,2000,2000,7,311.237
1,4,5,256,2000,4000,7,170.333
3,4,1,256,2000,2000,7,42.8091
3,4,3,256,2000,2000,7,80.483
3,4,5,256,2000,4000,7,45.3966
5,5,1,256,2000,2000,7,129.672
5,5,3,256,2000,2000,7,243.96
5,5,5,256,2000,4000,7,138.418
1,4,1,256,5000,5000,7,164.411
1,4,3,256,5000,5000,7,315.777
1,4,5,256,5000,10000,7,177.075
3,4,1,256,5000,5000,7,43.0636
3,4,3,256,5000,5000,7,80.9533
3,4,5,256,5000,10000,7,46.7422
5,5,1,256,5000,5000,7,132.067
5,5,3,256,5000,5000,7,245.121
5,5,5,256,5000,10000,7,142.316
1,4,8,256,50,5000,7,199.161
3,4,8,256,50,5000,7,51.8322
5,5,8,256,50,5000,7,157.805
1,4,8,256,100,20000,7,274.493
3,4,8,256,100,20000,7,73.6773
5,5,8,256,100,20000,7,224.779
1,4,8,256,200,80000,7,507.769
3,4,8,256,200,80000,7,138.586
5,5,8,256,200,80000,7,432.24
1,4,8,256,500,500000,7,3219.97
3,4,8,256,500,500000,7,997.972
5,5,8,256,500,500000,7,3164.09
