metodo,orden,problema,hebras,tamvector,neqn,salto,tiempo
1,4,1,256,10000,10000,6,19.1864
1,4,3,256,10000,10000,6,31.1457
1,4,5,256,10000,20000,6,22.3018
3,4,1,256,10000,10000,6,4.36742
3,4,3,256,10000,10000,6,8.13871
3,4,5,256,10000,20000,6,6.07753
5,5,1,256,10000,10000,6,13.3089
5,5,3,256,10000,10000,6,24.6816
5,5,5,256,10000,20000,6,18.7405
1,4,1,256,20000,20000,6,20.5695
1,4,3,256,20000,20000,6,51.7041
1,4,5,256,20000,40000,6,28.2738
3,4,1,256,20000,20000,6,5.63683
3,4,3,256,20000,20000,6,13.4343
3,4,5,256,20000,40000,6,7.65326
5,5,1,256,20000,20000,6,17.3058
5,5,3,256,20000,20000,6,40.8327
5,5,5,256,20000,40000,6,23.7239
1,4,1,256,50000,50000,6,25.6021
1,4,3,256,50000,50000,6,73.4573
1,4,5,256,50000,100000,6,43.4037
3,4,1,256,50000,50000,6,7.13322
3,4,3,256,50000,50000,6,19.1632
3,4,5,256,50000,100000,6,13.288
5,5,1,256,50000,50000,6,22.1105
5,5,3,256,50000,50000,6,58.4223
5,5,5,256,50000,100000,6,51.0106
1,4,1,256,100000,100000,6,36.1241
1,4,3,256,100000,100000,6,134.525
1,4,5,256,100000,200000,6,89.1621
3,4,1,256,100000,100000,6,10.8613
3,4,3,256,100000,100000,6,35.5135
3,4,5,256,100000,200000,6,31.2154
5,5,1,256,100000,100000,6,40.3996
5,5,3,256,100000,100000,6,116.558
5,5,5,256,100000,200000,6,104.756
1,4,1,256,200000,200000,6,72.2342
1,4,3,256,200000,200000,6,270.135
1,4,5,256,200000,400000,6,195.793
3,4,1,256,200000,200000,6,26.6681
3,4,3,256,200000,200000,6,76.4479
3,4,5,256,200000,400000,6,64.9385
5,5,1,256,200000,200000,6,94.0008
5,5,3,256,200000,200000,6,240.968
5,5,5,256,200000,400000,6,208.504
