metodo,orden,problema,hebras,tamvector,neqn,salto,tiempo
1,4,1,1,100,100,5,304.351
1,4,1,4,100,100,5,2207.94
1,4,1,16,100,100,5,4610.98
1,4,2,1,100,100,5,1252.41
1,4,2,4,100,100,5,3466.14
1,4,2,16,100,100,5,7127
1,4,3,1,100,200,5,541.201
1,4,3,4,100,200,5,2969.25
1,4,3,16,100,200,5,6648.8
1,4,4,1,100,20000,5,40904.8
1,4,4,4,100,20000,5,13194.4
1,4,4,16,100,20000,5,8550.12
2,4,1,1,100,100,5,372.139
2,4,1,4,100,100,5,862.182
2,4,1,16,100,100,5,1933.11
2,4,2,1,100,100,5,1227.36
2,4,2,4,100,100,5,1167.28
2,4,2,16,100,100,5,1665.2
2,4,3,1,100,200,5,531.974
2,4,3,4,100,200,5,805.913
2,4,3,16,100,200,5,1965.89
2,4,4,1,100,20000,5,107421
2,4,4,4,100,20000,5,29185.1
2,4,4,16,100,20000,5,9744.22
3,4,1,1,100,100,5,132.553
3,4,1,4,100,100,5,1241.6
3,4,1,16,100,100,5,3017.37
3,4,2,1,100,100,5,390.526
3,4,2,4,100,100,5,1575.74
3,4,2,16,100,100,5,4018.88
3,4,3,1,100,200,5,207.744
3,4,3,4,100,200,5,1311.46
3,4,3,16,100,200,5,2808.78
3,4,4,1,100,20000,5,12059
3,4,4,4,100,20000,5,4310.88
3,4,4,16,100,20000,5,3802.13
4,4,1,1,100,100,5,98.9886
4,4,1,4,100,100,5,583.344
4,4,1,16,100,100,5,1581.99
4,4,2,1,100,100,5,320.505
4,4,2,4,100,100,5,552.621
4,4,2,16,100,100,5,1522.39
4,4,3,1,100,200,5,169.955
4,4,3,4,100,200,5,465.175
4,4,3,16,100,200,5,1503.46
4,4,4,1,100,20000,5,26267.1
4,4,4,4,100,20000,5,7375.99
4,4,4,16,100,20000,5,4150.33
5,5,1,1,100,100,5,467.572
5,5,1,4,100,100,5,4376.19
5,5,1,16,100,100,5,10118.4
5,5,2,1,100,100,5,1193.39
5,5,2,4,100,100,5,5519.32
5,5,2,16,100,100,5,11984.6
5,5,3,1,100,200,5,687.235
5,5,3,4,100,200,5,5147.79
5,5,3,16,100,200,5,13414.8
5,5,4,1,100,20000,5,39663.5
5,5,4,4,100,20000,5,13758.4
5,5,4,16,100,20000,5,12912.2
6,5,1,1,100,100,5,327.55
6,5,1,4,100,100,5,988.153
6,5,1,16,100,100,5,2688.09
6,5,2,1,100,100,5,1001.99
6,5,2,4,100,100,5,1291.51
6,5,2,16,100,100,5,4842.47
6,5,3,1,100,200,5,584.403
6,5,3,4,100,200,5,907.886
6,5,3,16,100,200,5,4711.6
6,5,4,1,100,20000,5,94046.9
6,5,4,4,100,20000,5,26776.1
6,5,4,16,100,20000,5,10183.6
1,4,1,1,200,200,5,328.751
1,4,1,4,200,200,5,2003.13
1,4,1,16,200,200,5,4818.05
